epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.72215,2.41374,4.31475,1.21532,0.00519,0.05926,0.00316,0.00174,2.04133,4.39166,1.0492,5.001e-05,5.001e-05,5.001e-05
2,8.38299,2.36021,4.22847,1.20694,0.05606,0.36296,0.19125,0.11951,1.39073,3.1597,0.88549,0.000116305,0.000116305,0.000116305
3,10.1696,1.33723,1.77214,0.89445,0.49079,0.51204,0.51564,0.34025,1.08436,1.94312,0.82891,0.00018216,0.00018216,0.00018216
4,11.9445,1.22498,0.78538,0.86667,0.71816,0.63889,0.68241,0.38801,1.22422,3.50782,0.83222,0.000247575,0.000247575,0.000247575
5,13.6594,1.17235,0.72178,0.85068,0.60366,0.68333,0.68741,0.40327,1.21345,4.95838,0.83512,0.000312549,0.000312549,0.000312549
6,15.3522,1.07115,0.69607,0.84597,0.80896,0.64547,0.69026,0.41568,1.17666,2.59308,0.83846,0.000377084,0.000377084,0.000377084
7,17.0681,1.1532,0.6977,0.84834,0.7542,0.66681,0.69927,0.39995,1.18847,2.65942,0.83508,0.000441178,0.000441178,0.000441178
8,18.6896,1.0964,0.62447,0.84284,0.80081,0.68855,0.70696,0.41782,1.20606,1.71918,0.84849,0.000504833,0.000504833,0.000504833
9,20.3703,1.04806,0.61309,0.836,0.76027,0.68074,0.70259,0.41895,1.23212,1.62689,0.84501,0.000568047,0.000568047,0.000568047
10,22.0471,1.11836,0.59987,0.85489,0.67973,0.66924,0.58879,0.37724,1.16751,2.18757,0.84801,0.000630821,0.000630821,0.000630821
11,23.5998,1.10193,0.61671,0.84963,0.84333,0.59852,0.67178,0.40844,1.19099,1.10006,0.84972,0.000693155,0.000693155,0.000693155
12,25.1462,1.12316,0.64497,0.84648,0.78194,0.71545,0.7337,0.44026,1.20881,1.62007,0.84759,0.000755049,0.000755049,0.000755049
13,26.8414,1.07473,0.64188,0.85533,0.52733,0.55743,0.47584,0.30628,1.24589,1.81156,0.86238,0.000816503,0.000816503,0.000816503
14,28.3642,1.10802,0.60813,0.83537,0.35935,0.49074,0.30163,0.19388,1.28015,8.35478,0.8808,0.000877517,0.000877517,0.000877517
15,29.9171,1.08155,0.59927,0.83677,0.74408,0.56605,0.5751,0.33427,1.25131,1.19788,0.86565,0.000938091,0.000938091,0.000938091
16,31.4204,1.07985,0.5661,0.82985,0.67317,0.53184,0.47841,0.28942,1.26933,1.55892,0.8821,0.000998225,0.000998225,0.000998225
17,33.0676,1.1696,0.57548,0.82138,0.62506,0.56667,0.46826,0.28325,1.2219,1.07746,0.86864,0.00105792,0.00105792,0.00105792
18,34.6365,1.10575,0.58415,0.84916,0.01459,0.01481,0.00501,0.00256,3.73789,inf,4.35057,0.00111717,0.00111717,0.00111717
19,36.1668,1.21132,0.62542,0.85567,0,0,0,0,4.55743,inf,9.14006,0.00117599,0.00117599,0.00117599
20,37.6589,1.04624,0.59486,0.8461,0,0,0,0,4.25842,inf,4.78044,0.00123436,0.00123436,0.00123436
21,39.4027,1.10018,0.60697,0.86084,0.05196,0.02037,0.03087,0.01035,3.94845,inf,1.83606,0.00129229,0.00129229,0.00129229
22,40.8862,1.11191,0.56366,0.83913,0.38489,0.10185,0.11274,0.0658,2.01113,338.977,1.1434,0.00134978,0.00134978,0.00134978
23,43.131,1.08922,0.56596,0.84007,0.40885,0.14247,0.12833,0.07177,2.22147,164.421,1.18768,0.00140684,0.00140684,0.00140684
24,45.7217,1.03437,0.54011,0.82836,0.42384,0.1692,0.17583,0.09689,2.36847,69.6003,1.18616,0.00146345,0.00146345,0.00146345
25,48.6896,1.09274,0.58507,0.82916,0.05238,0.06111,0.0533,0.02213,3.61018,252.175,1.824,0.00151962,0.00151962,0.00151962
26,51.9507,1.05,0.53517,0.83561,0.30364,0.09074,0.13734,0.06612,2.91065,109.587,1.34514,0.00152947,0.00152947,0.00152947
27,54.0797,1.06405,0.55157,0.81786,0.44491,0.34146,0.32732,0.20717,1.74761,36.9945,1.02099,0.00152397,0.00152397,0.00152397
28,55.6721,1.01202,0.53951,0.82605,0.49343,0.4537,0.35501,0.23826,1.26438,31.4794,0.87136,0.00151847,0.00151847,0.00151847
29,57.3161,1.00252,0.54313,0.84092,0.70466,0.71111,0.66797,0.39876,1.17243,1.20861,0.83873,0.00151297,0.00151297,0.00151297
30,58.8356,1.03488,0.5193,0.81897,0.80961,0.7537,0.72116,0.4442,1.10313,0.63104,0.83345,0.00150747,0.00150747,0.00150747
31,60.5096,0.97772,0.51858,0.82423,0.87983,0.73574,0.7535,0.49191,1.08861,0.64257,0.83222,0.00150197,0.00150197,0.00150197
32,62.167,1.00307,0.53384,0.83723,0.8227,0.68519,0.72998,0.47888,1.05928,0.80074,0.83532,0.00149647,0.00149647,0.00149647
33,63.7262,1.0232,0.5152,0.83021,0.58665,0.36154,0.4215,0.27204,1.49184,1.08781,0.95163,0.00149096,0.00149096,0.00149096
34,65.2511,1.03376,0.52573,0.81531,0.47029,0.18148,0.17885,0.12131,1.88928,3.27983,1.42655,0.00148546,0.00148546,0.00148546
35,66.7674,1.03518,0.52385,0.81997,0.125,0.01111,0.07201,0.02115,3.33403,10.1654,2.69434,0.00147996,0.00147996,0.00147996
36,68.2558,1.00442,0.52424,0.81616,0.68265,0.196,0.26212,0.18502,1.57536,1.90775,1.06767,0.00147446,0.00147446,0.00147446
