epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.1443,1.01916,1.81117,0.89487,0.93688,0.95732,0.94394,0.78103,0.51929,0.6681,0.81605,0.00331395,0.00331395,0.00331395
2,45.5769,0.99145,0.88149,0.87741,0.95942,0.95122,0.95769,0.82075,0.48584,0.55936,0.81945,0.00663083,0.00663083,0.00663083
3,66.3753,1.03836,0.83036,0.88845,0.96228,0.94854,0.95348,0.8348,0.5099,0.56858,0.82143,0.00993122,0.00993122,0.00993122
4,85.8313,1.01886,0.78013,0.89072,0.94451,0.94485,0.94739,0.81612,0.4956,0.56288,0.83379,0.00992575,0.00992575,0.00992575
5,105.101,0.96213,0.7081,0.88051,0.98264,0.96341,0.96982,0.82994,0.52598,0.4855,0.83169,0.009901,0.009901,0.009901
6,124.493,0.9244,0.6319,0.8726,0.96898,0.95732,0.96003,0.85258,0.43871,0.40814,0.82738,0.00987625,0.00987625,0.00987625
7,143.73,0.88404,0.58911,0.86622,0.98675,0.96759,0.97383,0.86326,0.45465,0.39717,0.82953,0.0098515,0.0098515,0.0098515
8,162.52,0.86255,0.56638,0.86446,0.98042,0.95918,0.96911,0.8461,0.45706,0.38789,0.82897,0.00982675,0.00982675,0.00982675
9,180.795,0.84562,0.54611,0.85706,0.98559,0.96341,0.97473,0.86246,0.44337,0.38357,0.82108,0.009802,0.009802,0.009802
10,198.906,0.81953,0.52326,0.8553,0.99711,0.96341,0.96423,0.85755,0.45097,0.37392,0.82258,0.00977725,0.00977725,0.00977725
11,217.62,0.80806,0.51244,0.85239,0.955,0.96341,0.93814,0.83848,0.42218,0.42906,0.82402,0.0097525,0.0097525,0.0097525
12,238.078,0.7865,0.50251,0.85399,0.99249,0.96341,0.97587,0.88727,0.41959,0.34267,0.82028,0.00972775,0.00972775,0.00972775
13,257.528,0.77728,0.49162,0.85027,0.98598,0.96341,0.97432,0.8911,0.39734,0.31783,0.81281,0.009703,0.009703,0.009703
