epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.5487,0.92474,1.75335,0.91878,0.98887,0.95732,0.97237,0.86665,0.42166,0.70996,0.84255,0.00331395,0.00331395,0.00331395
2,61.9703,0.88542,0.94526,0.89535,0.97005,0.94401,0.97885,0.87536,0.43293,0.58934,0.84247,0.00663083,0.00663083,0.00663083
3,90.167,0.91317,0.86159,0.90498,0.90423,0.89634,0.9081,0.78473,0.51647,0.67627,0.87715,0.00993122,0.00993122,0.00993122
4,116.736,0.9125,0.77186,0.90873,0.98222,0.96341,0.96897,0.84104,0.48545,0.52259,0.86597,0.00992575,0.00992575,0.00992575
5,143.184,0.86482,0.69175,0.90127,0.95799,0.90728,0.94724,0.83698,0.4636,0.46733,0.86744,0.009901,0.009901,0.009901
6,170.734,0.84363,0.62501,0.8944,0.99144,0.96341,0.97087,0.84875,0.44638,0.41145,0.86284,0.00987625,0.00987625,0.00987625
7,197.081,0.81247,0.59067,0.88906,0.98315,0.95732,0.9752,0.87213,0.42946,0.38988,0.85391,0.0098515,0.0098515,0.0098515
8,224.805,0.80358,0.55497,0.8888,0.97324,0.96341,0.97767,0.88171,0.42181,0.38275,0.85524,0.00982675,0.00982675,0.00982675
9,250.688,0.77741,0.541,0.87981,0.99205,0.96951,0.98208,0.87839,0.4163,0.35444,0.84712,0.009802,0.009802,0.009802
10,277.358,0.75925,0.50994,0.87465,0.98065,0.96341,0.97861,0.88526,0.39879,0.35559,0.84972,0.00977725,0.00977725,0.00977725
11,303.918,0.75803,0.49958,0.8735,0.97811,0.96341,0.97418,0.87265,0.39981,0.38353,0.8433,0.0097525,0.0097525,0.0097525
12,330.632,0.73092,0.48984,0.87393,0.95631,0.96341,0.95875,0.8735,0.38817,0.39663,0.84349,0.00972775,0.00972775,0.00972775
13,356.952,0.72796,0.47923,0.87231,0.99805,0.96341,0.98403,0.89584,0.38279,0.3224,0.84462,0.009703,0.009703,0.009703
14,383.22,0.72868,0.46401,0.87028,0.986,0.96341,0.97268,0.87311,0.40347,0.32881,0.85089,0.00967825,0.00967825,0.00967825
15,410.506,0.69778,0.4558,0.85997,0.99237,0.96341,0.97633,0.89602,0.37445,0.30115,0.84032,0.0096535,0.0096535,0.0096535
16,437.484,0.70043,0.45152,0.86067,0.97129,0.94512,0.96165,0.88627,0.39058,0.36515,0.84488,0.00962875,0.00962875,0.00962875
17,464.306,0.69415,0.44782,0.85854,0.9985,0.96924,0.98469,0.899,0.40499,0.3146,0.84424,0.009604,0.009604,0.009604
18,493.011,0.68442,0.43595,0.8597,0.99161,0.96341,0.97842,0.89798,0.38165,0.29796,0.84504,0.00957925,0.00957925,0.00957925
19,519.713,0.67631,0.4265,0.85649,0.98091,0.97079,0.98474,0.9138,0.36561,0.29308,0.83416,0.0095545,0.0095545,0.0095545
20,545.473,0.66568,0.4258,0.85675,0.99784,0.96951,0.98877,0.91523,0.35951,0.28037,0.83459,0.00952975,0.00952975,0.00952975
21,571.046,0.67057,0.41992,0.85534,0.99733,0.96341,0.98161,0.92036,0.34554,0.27732,0.82794,0.009505,0.009505,0.009505
22,596.544,0.66192,0.41742,0.8572,0.99876,0.97407,0.98595,0.92276,0.3489,0.26887,0.82944,0.00948025,0.00948025,0.00948025
23,621.961,0.65945,0.41676,0.85367,0.9981,0.96341,0.9837,0.9086,0.36454,0.27996,0.83261,0.0094555,0.0094555,0.0094555
24,648.969,0.64396,0.40625,0.85008,0.99898,0.96341,0.98649,0.9051,0.35445,0.25839,0.83031,0.00943075,0.00943075,0.00943075
25,678.719,0.65106,0.40547,0.8513,0.99815,0.96341,0.97626,0.89965,0.35153,0.28187,0.82825,0.009406,0.009406,0.009406
26,708.908,0.64718,0.40577,0.85281,0.99706,0.97561,0.98468,0.91692,0.34899,0.26875,0.83375,0.00938125,0.00938125,0.00938125
27,741.038,0.64808,0.40246,0.84554,0.98522,0.96341,0.97834,0.90216,0.36245,0.27797,0.83203,0.0093565,0.0093565,0.0093565
28,770.288,0.63757,0.3997,0.84923,0.99896,0.96341,0.97714,0.90265,0.35739,0.2929,0.83288,0.00933175,0.00933175,0.00933175
29,800.141,0.62944,0.39186,0.84666,0.99965,0.96736,0.97932,0.91695,0.34226,0.25969,0.82618,0.009307,0.009307,0.009307
30,830.508,0.63606,0.39148,0.8492,0.99923,0.96882,0.98771,0.91874,0.34995,0.26739,0.83065,0.00928225,0.00928225,0.00928225
31,860.43,0.63666,0.38955,0.84974,0.99829,0.96341,0.9829,0.91221,0.35203,0.26049,0.83279,0.0092575,0.0092575,0.0092575
32,890.164,0.63086,0.38873,0.8445,0.99707,0.96341,0.98333,0.93343,0.31441,0.24076,0.81752,0.00923275,0.00923275,0.00923275
33,919.813,0.62886,0.38956,0.84441,0.99885,0.96341,0.98107,0.93581,0.33524,0.24133,0.82472,0.009208,0.009208,0.009208
34,949.677,0.62097,0.3835,0.84432,0.99762,0.96341,0.97845,0.91876,0.33762,0.24908,0.82507,0.00918325,0.00918325,0.00918325
35,979.384,0.61208,0.3832,0.84146,0.99969,0.96863,0.98632,0.93019,0.32824,0.24819,0.82362,0.0091585,0.0091585,0.0091585
36,1007.53,0.60718,0.37739,0.84132,0.99251,0.98171,0.98289,0.92423,0.32136,0.24097,0.82142,0.00913375,0.00913375,0.00913375
37,1038.74,0.6097,0.37726,0.84095,0.99845,0.96341,0.98758,0.93283,0.32269,0.24007,0.82104,0.009109,0.009109,0.009109
38,1066.31,0.6035,0.37198,0.84246,0.99685,0.96341,0.97704,0.91563,0.34152,0.26082,0.82638,0.00908425,0.00908425,0.00908425
39,1094.04,0.60754,0.37455,0.84077,0.97932,0.97561,0.98072,0.93232,0.31791,0.23772,0.82048,0.0090595,0.0090595,0.0090595
40,1121.53,0.60535,0.36564,0.84278,0.99942,0.96902,0.98881,0.93336,0.30606,0.23648,0.81761,0.00903475,0.00903475,0.00903475
41,1149.77,0.60825,0.3701,0.84062,0.99209,0.96341,0.9789,0.9157,0.34587,0.24388,0.82566,0.00901,0.00901,0.00901
42,1185.83,0.59213,0.36193,0.83825,0.99316,0.96341,0.98355,0.93258,0.31406,0.23183,0.82033,0.00898525,0.00898525,0.00898525
43,1220.23,0.60282,0.3654,0.83919,0.99883,0.96341,0.98612,0.93267,0.29809,0.22044,0.81546,0.0089605,0.0089605,0.0089605
44,1256.79,0.60197,0.3682,0.84064,0.99889,0.96341,0.98634,0.92859,0.32578,0.23673,0.82257,0.00893575,0.00893575,0.00893575
45,1295.03,0.58943,0.36235,0.83655,0.99883,0.96341,0.98928,0.94002,0.30399,0.22179,0.82061,0.008911,0.008911,0.008911
46,1325.86,0.5931,0.35601,0.83967,0.99904,0.96341,0.97983,0.92694,0.31083,0.23508,0.81763,0.00888625,0.00888625,0.00888625
47,1356.88,0.58581,0.35767,0.83725,0.99287,0.97448,0.98303,0.92684,0.33565,0.2443,0.82284,0.0088615,0.0088615,0.0088615
48,1384.79,0.58359,0.35912,0.83572,0.99307,0.96341,0.97417,0.91048,0.32675,0.27871,0.82563,0.00883675,0.00883675,0.00883675
49,1413.18,0.5749,0.35427,0.8357,0.99329,0.96341,0.98303,0.93162,0.29873,0.22324,0.8183,0.008812,0.008812,0.008812
50,1445.63,0.58265,0.35805,0.8331,0.99917,0.96903,0.98707,0.9345,0.31159,0.23259,0.81874,0.00878725,0.00878725,0.00878725
51,1478.14,0.58414,0.3562,0.8403,0.9879,0.97561,0.98871,0.94808,0.29855,0.22417,0.81475,0.0087625,0.0087625,0.0087625
52,1509.02,0.57878,0.35208,0.83533,0.99821,0.96341,0.98681,0.93995,0.31865,0.23033,0.82171,0.00873775,0.00873775,0.00873775
53,1538.59,0.58556,0.35246,0.83746,0.98321,0.97561,0.9885,0.94357,0.29526,0.22221,0.81484,0.008713,0.008713,0.008713
54,1568.35,0.56746,0.34701,0.83431,0.99947,0.97408,0.9906,0.94461,0.29948,0.21989,0.81432,0.00868825,0.00868825,0.00868825
55,1597.01,0.56234,0.34269,0.83083,0.99834,0.96881,0.98176,0.93624,0.29483,0.22364,0.81391,0.0086635,0.0086635,0.0086635
56,1625.2,0.56634,0.34378,0.82855,0.99868,0.98171,0.98942,0.95235,0.27808,0.2049,0.80876,0.00863875,0.00863875,0.00863875
57,1653.53,0.5788,0.34861,0.83666,0.99966,0.97199,0.99085,0.94954,0.29969,0.2271,0.81464,0.008614,0.008614,0.008614
58,1679.55,0.57373,0.34111,0.83391,0.99939,0.96951,0.98466,0.9416,0.28287,0.19816,0.81053,0.00858925,0.00858925,0.00858925
59,1704.99,0.56705,0.34417,0.83545,0.99937,0.96951,0.9883,0.9513,0.28943,0.20975,0.81215,0.0085645,0.0085645,0.0085645
60,1729.81,0.56715,0.34134,0.8308,0.99914,0.96901,0.98775,0.9412,0.29814,0.20834,0.81452,0.00853975,0.00853975,0.00853975
61,1755.1,0.56078,0.34064,0.832,0.99926,0.96951,0.98971,0.94452,0.26654,0.20569,0.80691,0.008515,0.008515,0.008515
62,1780.1,0.55553,0.33987,0.82894,0.99962,0.9695,0.99259,0.94659,0.29518,0.21197,0.81311,0.00849025,0.00849025,0.00849025
63,1805.22,0.56146,0.33997,0.82986,0.99972,0.9682,0.98283,0.93235,0.31232,0.22055,0.81742,0.0084655,0.0084655,0.0084655
64,1830.03,0.55685,0.33756,0.8322,0.99909,0.96907,0.98977,0.94077,0.2886,0.20532,0.81236,0.00844075,0.00844075,0.00844075
65,1854.89,0.55803,0.33524,0.82804,0.98672,0.98035,0.99129,0.95466,0.28067,0.20104,0.8098,0.008416,0.008416,0.008416
66,1879.69,0.55844,0.33878,0.83323,0.98623,0.9878,0.99052,0.93793,0.29517,0.20298,0.813,0.00839125,0.00839125,0.00839125
67,1904.44,0.56139,0.33943,0.83048,0.99943,0.97436,0.98987,0.95565,0.28885,0.21058,0.81132,0.0083665,0.0083665,0.0083665
68,1930.43,0.56294,0.33486,0.83038,0.99879,0.96947,0.98918,0.95483,0.27732,0.20216,0.80942,0.00834175,0.00834175,0.00834175
69,1958.48,0.54855,0.33344,0.83205,0.9924,0.97561,0.99227,0.95061,0.28018,0.19448,0.81334,0.008317,0.008317,0.008317
70,1986.4,0.55878,0.3341,0.83214,0.99853,0.97561,0.9908,0.95773,0.27857,0.20443,0.80932,0.00829225,0.00829225,0.00829225
71,2013.05,0.54774,0.33205,0.82877,0.99932,0.96923,0.99095,0.94903,0.27654,0.20532,0.81005,0.0082675,0.0082675,0.0082675
72,2040.44,0.54985,0.33029,0.83085,0.9969,0.98171,0.99414,0.95519,0.27472,0.196,0.80814,0.00824275,0.00824275,0.00824275
73,2068.48,0.54564,0.32916,0.83153,0.99802,0.9939,0.99482,0.96244,0.26417,0.19708,0.8085,0.008218,0.008218,0.008218
74,2096.43,0.55222,0.32978,0.82801,0.99721,0.9878,0.99401,0.95467,0.2746,0.19511,0.81008,0.00819325,0.00819325,0.00819325
75,2122.75,0.54496,0.32813,0.82617,0.98688,0.98726,0.99251,0.95378,0.26831,0.19613,0.80723,0.0081685,0.0081685,0.0081685
76,2150.07,0.54628,0.33095,0.82858,0.99894,0.9796,0.99145,0.94893,0.28206,0.19832,0.81026,0.00814375,0.00814375,0.00814375
77,2176.48,0.53848,0.32646,0.82737,0.99905,0.99255,0.99471,0.95625,0.27156,0.19,0.80785,0.008119,0.008119,0.008119
78,2201.74,0.53532,0.32136,0.82251,0.99107,0.9878,0.99252,0.95897,0.26966,0.18939,0.80829,0.00809425,0.00809425,0.00809425
79,2226.7,0.53764,0.32141,0.82706,0.98065,0.98034,0.98873,0.95798,0.27152,0.19714,0.80804,0.0080695,0.0080695,0.0080695
80,2251.67,0.53671,0.32128,0.82755,0.99307,0.98641,0.99346,0.95238,0.27326,0.19141,0.80722,0.00804475,0.00804475,0.00804475
81,2277.05,0.52476,0.31817,0.82621,0.99902,0.97767,0.99424,0.96174,0.26265,0.19071,0.8055,0.00802,0.00802,0.00802
82,2302.14,0.53804,0.31886,0.82433,0.99272,0.99726,0.99482,0.96072,0.27028,0.1859,0.80767,0.00799525,0.00799525,0.00799525
83,2328.41,0.52572,0.31663,0.82486,0.98706,0.9878,0.99436,0.96203,0.2606,0.18809,0.80639,0.0079705,0.0079705,0.0079705
84,2353.79,0.5329,0.3193,0.82683,0.99485,0.9878,0.99402,0.96095,0.26069,0.18508,0.80303,0.00794575,0.00794575,0.00794575
85,2379.27,0.52743,0.3157,0.82629,0.99722,0.9939,0.99466,0.96033,0.26407,0.18654,0.8042,0.007921,0.007921,0.007921
