epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.2502,2.25077,4.10817,1.24686,0.00074,0.0122,0.00038,8e-05,1.55493,3.96557,1.14521,8.335e-05,8.335e-05,8.335e-05
2,6.75596,1.56283,3.65496,1.02051,0.01426,0.29268,0.02542,0.01211,1.55703,3.60381,1.02796,0.000182765,0.000182765,0.000182765
3,8.18255,1.51631,2.17162,0.95693,0.0168,0.38618,0.18157,0.11567,1.38441,3.15248,0.97463,0.00028152,0.00028152,0.00028152
4,9.50267,1.36122,1.30608,0.92979,0.98063,0.20178,0.29711,0.18292,1.4394,2.6115,1.00041,0.000379614,0.000379614,0.000379614
5,10.8565,1.35947,1.1608,0.93452,1,0.12386,0.36466,0.22246,1.3819,2.2524,1.0004,0.000477049,0.000477049,0.000477049
6,12.1902,1.36702,1.09374,0.93023,0.98341,0.23693,0.39223,0.24101,1.30245,1.99498,0.99494,0.000573823,0.000573823,0.000573823
7,13.5189,1.30988,1.04625,0.90823,0.96264,0.30207,0.40664,0.23852,1.33457,1.73134,1.00611,0.000669937,0.000669937,0.000669937
8,14.8087,1.29371,1.05431,0.92299,0.44275,0.31438,0.38104,0.23747,1.30803,1.72136,1.00361,0.000765391,0.000765391,0.000765391
9,16.2931,1.30462,0.96292,0.91283,0.95658,0.34196,0.42461,0.2543,1.34516,1.44,1.00573,0.000860185,0.000860185,0.000860185
10,17.7435,1.2449,0.95623,0.91614,0.46827,0.35992,0.44304,0.28139,1.23164,1.4549,0.9751,0.000954319,0.000954319,0.000954319
11,19.1957,1.22932,0.93046,0.90045,0.98326,0.35201,0.4323,0.27463,1.22436,1.46289,0.97817,0.00104779,0.00104779,0.00104779
12,20.7575,1.34702,0.94215,0.9351,0.98797,0.32979,0.43412,0.27679,1.25881,1.5966,0.97649,0.00114061,0.00114061,0.00114061
13,22.1534,1.22397,0.87701,0.92466,0.96903,0.30785,0.42559,0.27604,1.21217,1.70699,0.96285,0.00123276,0.00123276,0.00123276
14,23.6257,1.26653,0.90639,0.90951,0.98748,0.31648,0.46064,0.28462,1.25362,1.74819,0.96796,0.00132425,0.00132425,0.00132425
15,24.9788,1.27342,0.87443,0.91677,0.95573,0.29294,0.45732,0.25769,1.37894,1.82819,0.99309,0.00141509,0.00141509,0.00141509
16,26.3647,1.21685,0.84521,0.89906,0.91533,0.35894,0.55336,0.31425,1.26717,1.55329,0.95685,0.00150526,0.00150526,0.00150526
17,27.7331,1.23045,0.82159,0.92104,0.89559,0.43613,0.62137,0.33381,1.27584,1.48184,0.95925,0.00157898,0.00157898,0.00157898
