epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.42536,1.99322,6.22694,0.91798,0.92035,0.91176,0.9585,0.51737,1.52792,1.89828,0.93714,0.00023338,0.00023338,0.00023338
2,13.0645,1.51429,1.16577,0.86426,0.97798,0.97059,0.99159,0.64013,1.10595,0.98466,0.90867,0.000482234,0.000482234,0.000482234
3,17.7234,1.36725,0.95247,0.82366,0.99254,0.94118,0.99166,0.64125,1.27458,0.58012,0.92074,0.000729849,0.000729849,0.000729849
4,21.5469,1.42974,0.9671,0.85505,0.97132,0.9961,0.99186,0.64153,1.2126,0.51249,0.91107,0.000976227,0.000976227,0.000976227
5,25.067,1.354,0.86031,0.83629,1,0.96911,0.99289,0.6203,1.44348,0.52096,0.91807,0.00122137,0.00122137,0.00122137
6,28.6421,1.37272,0.8685,0.85423,0.96285,1,0.99357,0.6406,1.16426,0.50033,0.90542,0.00146527,0.00146527,0.00146527
7,32.3037,1.36753,0.78875,0.8461,0.99394,1,0.995,0.61691,1.56461,0.61175,0.9219,0.00164225,0.00164225,0.00164225
8,35.5794,1.30271,0.80392,0.84166,0.99568,1,0.995,0.64029,1.37366,0.49605,0.92046,0.00163812,0.00163812,0.00163812
9,38.7043,1.27665,0.7614,0.84366,0.99652,1,0.995,0.61115,1.45743,0.51521,0.92241,0.00163399,0.00163399,0.00163399
10,41.7837,1.19313,0.71717,0.83241,0.99818,1,0.995,0.68797,1.0845,0.44991,0.90311,0.00162987,0.00162987,0.00162987
11,45.8056,1.24013,0.71976,0.83356,1,0.99671,0.995,0.70911,1.06153,0.41314,0.90012,0.00162574,0.00162574,0.00162574
12,49.2541,1.26141,0.70313,0.84691,1,0.99805,0.995,0.69196,1.25766,0.45798,0.90611,0.00162162,0.00162162,0.00162162
13,52.4592,1.2138,0.69592,0.83346,1,0.99257,0.995,0.70094,0.90706,0.43323,0.90052,0.00161749,0.00161749,0.00161749
14,55.7581,1.28064,0.71913,0.8492,1,0.99696,0.995,0.61043,1.62022,0.62659,0.92497,0.00161336,0.00161336,0.00161336
